Name,ID,Title,,print,digitized copy,Source,prose/verse
"Tarillon, François",http://viaf.org/viaf/64297283,Ars confabulandi,passim,,https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103195579,sacreQuidPoetaeScriptoresve1986,verse
"Rasyr, Aegidius",http://viaf.org/viaf/89424132,Carmen paradoxum sive podagra tabaci usu curata,,https://opac.kbr.be/LIBRARY/doc/SYRACUSE/13328162,,sacreQuidPoetaeScriptoresve1986,verse
Johan Isaksson Pontanus,https://www.wikidata.org/wiki/Q2204098,Poemata,passim,https://opac.k10plus.de/DB=2.299/PPNSET?PPN=142104159&PRS=HOL&HILN=888&INDEXSET=21,,sacreQuidPoetaeScriptoresve1986,verse
John Barclay,,"Euphormionis Lusinini satyricon, ed. Fleming",p. 346,,,sacreQuidPoetaeScriptoresve1986,verse
"Godefroy, Jean-Baptiste",http://viaf.org/viaf/202038326,Tabacum carmen,,,https://gallica.bnf.fr/ark:/12148/bpt6k9613251g,sacreQuidPoetaeScriptoresve1986,verse
Anon.,,Disce tubo genitos haurere et reddere fumum,p. 24-25,,,sacreQuidPoetaeScriptoresve1986,verse
"Loveling, Benjamin",http://viaf.org/viaf/279518013,Latin and English poems,passim,,,sacreQuidPoetaeScriptoresve1986,verse
"Buganza, Gaetano",http://viaf.org/viaf/61896296,Poesie latine dell’Abate Gaetano Buganza Mantovano scritte sopra argomenti di costume moderno …,passim,,https://archive.org/details/bub_gb_YeaOmMUuzBcC,sacreQuidPoetaeScriptoresve1986,verse
"Meierus, Iohanens Ioachimus",,Praeficisne! Ineuntis aetatis Tabacomania,p. 74-78,,"https://www.digitale-sammlungen.de/en/view/bsb10609102?page=108,109",sacreQuidPoetaeScriptoresve1986,verse
"Burmannus, Petrus, de Jongere",http://viaf.org/viaf/49257108 ,Meditatio seria super tabacatione pipali …,,,http://books.google.com/books?vid=KBNL:KBNL03000111649,sacreQuidPoetaeScriptoresve1986,verse
"Pannagl, Bernard",http://viaf.org/viaf/3560572,Musa Panagaea …,p. 482-500,,https://books.google.de/books?id=n89jAAAAcAAJ,sacreQuidPoetaeScriptoresve1986,verse
"Croyzé, Philip Willem",http://viaf.org/viaf/59426188,Otia poetica,passim,,https://books.google.de/books?id=DR1GIBF0yz8C,sacreQuidPoetaeScriptoresve1986,verse
Klaus Ignác,,De tabaco georgicorum libri II. Carmen didascalicum,,http://nektar.oszk.hu/peldinfo_spring/peldinfo.htm?id=3166534&view=1,,sacreQuidPoetaeScriptoresve1986,verse
"Stein, Anton Joseph", http://viaf.org/viaf/75986188,Amor capnophilus,,,http://data.onb.ac.at/rep/1033DDB3,sacreQuidPoetaeScriptoresve1986,verse
"Macrae, D.",,In herbam Nicotianam,"Vox Urbis 2 (1899), p. 87",in SBB,,sacreQuidPoetaeScriptoresve1986,verse
G. Julius F….N,,Eloge du tabac,"Barberii Hermes Romanus ou Mercure latin 4 (Paris 1818), p. 925",,,sacreQuidPoetaeScriptoresve1986,verse
"Leech, Johannes",,"Ad herbam Nicotianam, aut Mediceam, vulgo paetum, aut Tabacum",,,https://archive.org/details/musalatinaaberdo03gedduoft/page/290/mode/2up,sacreTabacoQuidSenserint1989,verse
Carolus Fitzgeffrey,https://www.wikidata.org/wiki/Q5077688,In Lytum,,,https://www.jstor.org/stable/23973533 ,sacreTabacoQuidSenserint1989,verse
Anon.,,"Expertissimis Excellentissimisue dominis ac Magistris Fumatoribus, Snuffelatoribus, et Cnabbelatoribus, nec non Amatoribus Tabaci pipialis, Nasalis, Cnabbelativi",,,,sacreTabacoQuidSenserint1989,verse
Anon.,,Aenigma (de pipa),"Le Mercure Belge 3 (1818), p.467",,,sacreTabacoQuidSenserint1989,verse
Paulus Möller,,Laus Tabaci,"Dansk digtning paa Latin. Gennem syv aarhundreder, ed .Kragelund (Hauniae 1963), 38-39",sacreTabacoQuidSenserint1989,,sacreTabacoQuidSenserint1989,verse
Iosephus Bernerdini,,De Brasilia carmen,"Il Baretti 1874, 119-120",,,sacreTabacoQuidSenserint1989,verse
Alexander Zappata,http://viaf.org/viaf/36908384,De anguillarum Comaclensium piscatione,"Carmina Certaminis Hoeufftiani, Amstelodami 1897, p. 13",,,sacreTabacoQuidSenserint1989,verse
Petrus H. Damste,http://viaf.org/viaf/32381494,Solaciolum,"Carmina Certaminis Hoeufftiani, Amstelodami 1912",,,sacreTabacoQuidSenserint1989,verse
E. O. Furber,,Ode to Tobacco,"N. A. Bonavia-Hunt, Horace the Minstrel: a Practical and Aesthetic Study of his Aeolic Verse (1969), 226-229",,,sacreTabacoQuidSenserint1989,verse
T. W. Melluish,,Ad Erycum,"N. A. Bonavia-Hunt, Horace the Minstrel: a Practical and Aesthetic Study of his Aeolic Verse (1969), 228-229",,,sacreTabacoQuidSenserint1989,verse
P. Backmund,,Lepide dicta,"Hermes Americanus 3 (1985), 53-54",,,sacreTabacoQuidSenserint1989,verse
Florindus Di Monaco,,Artes pulchritudinis,"Hermes Americanus 4 (1986), 133-172",,,sacreTabacoQuidSenserint1989,verse
Franciscus Bacon,,Historiae vitae et mortis,"Londniii 1623, capp. 27-29",,,sacreTabacoQuidSenserint1989,prose
Iohannes Magnenus,https://www.wikidata.org/wiki/Q6215730,Exercitationes de tabaco,"Ticini 1648, ed. altra Den Haag 1658",,"https://www.digitale-sammlungen.de/en/view/bsb10287577?page=,1",sacreTabacoQuidSenserint1989,prose
Simon Paullus ,,De abusu tabaci et herbae thee,"Argentorati 1681, ed. altera Argentorati 1681",,,sacreTabacoQuidSenserint1989,prose
Martinus Szent-Ivany,,Curiosiora et selectiora variarum scientiarum Miscellanea in tres partes divisa,"Tyrnaviae 1689, vol.2 ",,,sacreTabacoQuidSenserint1989,prose
Iohannes Labos,,Dissertatio de cultura Tabacae Hungaricae,Viennae 1789,,,sacreTabacoQuidSenserint1989,prose
Iosephus Verner,,Psychologia empirica,Iaurini 1827,,,sacreTabacoQuidSenserint1989,prose
Franciscus Bene,,Elementa medicinae practicae e praelectionibus illlius publicis edita,1833,,,sacreTabacoQuidSenserint1989,prose
Hugo Henricus Paoli,,De senectute,"Floentiae 1942, p. 41",,,sacreTabacoQuidSenserint1989,prose
Iohannes Lis,,"De rege Jacobo primo, tabaci adversario","Societas Latina 12 (1944), 11-13",,,sacreTabacoQuidSenserint1989,prose
Iohannes Lis,,Ardentissimus tabaci cultor fumandique laudator,"Societas Latina 13 (1947), 24-27",,,sacreTabacoQuidSenserint1989,prose
Josef Eberle,https://www.wikidata.org/wiki/Q98789,Ars fumatoria,"Echo Perennis/Nie verstummendes Echo, Stuttgart: Deutsche Verlags-Anstalt 1970, 82-103",,,,verse
Raphael Thorius,https://www.wikidata.org/wiki/Q16863799+,Hymnus tabaci,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Satyra contra abusum tabaci,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Medicinae gloria,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Fabula de herba Tabaco,,,,,verse
"Marie, Jean",,"Laus tabaci, sive Chymici metamorphosis in tabacum ",,,https://gallica.bnf.fr/ark:/12148/bpt6k9640295j,,verse
"Mander, Karel van",http://viaf.org/viaf/121932539,De pulvere Tabaci poema,Haffniae 1666,,,seidenschnurBeitrageZurKenntniss1847,verse
Petrus Scriverius,http://viaf.org/viaf/24732263,Saturnalia sive de usu et abusu tabaci,Harlem 1628,,https://books.google.de/books?id=e0wm326KXEEC,seidenschnurBeitrageZurKenntniss1847,verse
Petrus Bethius,http://d-nb.info/gnd/128704764,Vituperatio herbae Nicotianae quam vulgo Tabacum appellant,,,"https://www.digitale-sammlungen.de/en/view/bsb11103582?page=146,147",seidenschnurBeitrageZurKenntniss1847,verse
Petrus Bethius,http://d-nb.info/gnd/128704764,Tabaci laus vulgari quasi stylo expressa,,,"https://www.digitale-sammlungen.de/en/view/bsb11103582?page=148,149",seidenschnurBeitrageZurKenntniss1847,verse
